raw,replaced
Film Series to in N.Y.C. This Weekend .,Film Series to in N.Y.C. This Weekend .
2020-03-13 20:03:35 +00:00 .,2020-03-13 20:03:35 +00:00 .
"Note : Because of the coronavirus outbreak and the state ’s ban on gatherings of more than 500 people , many events have been canceled .","Note : Because of the coronavirus outbreak and the state ’s ban on gatherings of more than 500 people , these have been canceled ."
"As of press time , these were still scheduled to take place .","As of press time , these were still scheduled to take place ."
"Before heading out , visit the website of the performance space or organization for the latest updates .","Before heading out , visit the website of the performance space or organization for the latest updates ."
FAMILY PORTRAITS : THE FILMS OF HIROKAZU KORE - EDA at IFC Center ( through March 19 ) .,FAMILY PORTRAITS : THE FILMS OF HIROKAZU KORE - EDA at IFC Center ( through March 19 ) .
"Kore - eda , who won the top prize at Cannes in 2018 for “ Shoplifters ” ( screening in this series on Friday ) , returns on March 20 with a film made outside of Japan , “ The Truth , ” starring Catherine Deneuve and Juliette Binoche .","Kore - eda , who won the top prize at Cannes in 2018 for “ Shoplifters ” ( screening in this series on Friday ) , returns on March 20 with a film made outside of Japan , “ The Truth , ” starring Catherine Deneuve and Juliette Binoche ."
( A sneak preview will be shown on Saturday . ),( A sneak preview will be shown on Saturday . )
"IFC Center ’s retrospective offers a near - comprehensive look at his past work , from acclaimed domestic dramas such as “ Like Father , Like Son ” ( on Friday and March 19 ) and “ Still Walking ” ( on Saturday and Tuesday ) to the oddity “ Air Doll ” ( on Sunday and Wednesday ) , in which Kore - eda , ever the humanist , lends unexpected sincerity to a story in which a sex doll comes to life ( played by the South Korean actress Bae Doo - na ) .","IFC Center  This annual series offers a near - comprehensive look at Kore - eda , who won the top prize at Cannes in 2018 for “ Shoplifters ” ( screening in this series on Friday ) past work , from acclaimed domestic dramas such as “ Like Father , Like Son ” ( on Friday and March 19 ) and “ Still Walking ” ( on Saturday and Tuesday ) to the oddity “ Air Doll ” ( on Sunday and Wednesday ) , in which Kore - eda , ever the humanist , lends unexpected sincerity to a story in which a sex doll comes to life ( played by the South Korean actress Bae Doo - na ) ."
"212 - 924 - 7771 , ifccenter.com","212 - 924 - 7771 , ifccenter.com"
[ New York events at smaller venues go on . ],[ New York events at smaller venues go on . ]
FIRST LOOK 2020 at the Museum of the Moving Image ( through March 15 ) .,FIRST LOOK 2020 at the Museum of the Moving Image ( through March 15 ) .
"This annual series always examines the cutting edge of international cinema , but the latest edition is also something of a throwback .","This annual series always examines the cutting edge of international cinema , but the latest edition is also something of a throwback ."
"In “ Bird Talk ” ( on Friday ) , Xawery Zulawski directs a screenplay written by his father , the gonzo Polish auteur Andrzej Zulawski , who died in 2016 ; “ On the Silver Globe , ” a science fiction allegory that the elder Zulawski completed in the 1980s after the Ministry of Culture halted production a decade earlier , screens the next day .","In “ Bird Talk ” ( on Friday ) , Xawery Zulawski directs a screenplay written by Xawery Zulawski father , the gonzo Polish auteur Andrzej Zulawski , who died in 2016 ; “ On the Silver Globe , ” a science fiction allegory that the elder Zulawski completed in the 1980s after the Ministry of Culture halted production a decade earlier , screens the next day ."
"In “ Maggie ’s Farm ” ( on Sunday ) , the experimental filmmaker James Benning , known for structuring his films around landscapes and duration , turns his gaze on the CalArts building where he works .","In “ Maggie ’s Farm ” ( on Sunday ) , the experimental filmmaker James Benning , known for structuring his films around landscapes and duration  the experimental filmmaker James Benning , known for structuring his films around landscapes and duration films around landscapes and duration , turns the experimental filmmaker James Benning , known for structuring his films around landscapes and duration gaze on the CalArts building where the experimental filmmaker James Benning , known for structuring his films around landscapes and duration works ."
"718 - 784 - 0077 , movingimage.us","718 - 784 - 0077 , movingimage.us"
[ Read about the events that our other critics have chosen for the week ahead . ],[ Read about the events that our other critics have chosen for the week ahead . ]
ULRIKE OTTINGER at the Metrograph ( March 14 - 21 ) .,ULRIKE OTTINGER at the Metrograph ( March 14 - 21 ) .
"Reviewing an exhibition of this German writer , photographer and filmmaker 20 years ago , Roberta Smith wrote that Ottinger ’s sensibility “ ranges effortlessly and extravagantly between ethnographic documentary and Surrealist feminist fantasy , sometimes within the same film . ”","Reviewing an exhibition of this German writer , photographer and filmmaker 20 years ago , Roberta Smith wrote that Ottinger ’s sensibility “ ranges effortlessly and extravagantly between ethnographic documentary and Surrealist feminist fantasy , sometimes within the same film . ”"
"Ottinger will appear at several screenings in this retrospective of her cinematic work , which includes “ Freak Orlando ” ( on Saturday ) , very loosely inspired by Virginia Woolf , and “ Joan of Arc of Mongolia ” ( on Sunday ) , an epic shot in Mongolia .","Ottinger will appear at several screenings in this retrospective of Ottinger cinematic work , which includes “ Freak Orlando ” ( on Saturday ) , very loosely inspired by Virginia Woolf , and “ Joan of Arc of Mongolia ” ( on Sunday ) , an epic shot in Mongolia ."
"212 - 660 - 0312 ,","212 - 660 - 0312 ,"
metrograph.com,metrograph.com
