raw,replaced
"Russian coronavirus cases above 260,000 as Moscow launches antibody tests .","Russian coronavirus cases above 260,000 as Moscow launches antibody tests ."
2020-05-15 14:56:39 +00:00 .,2020-05-15 14:56:39 +00:00 .
"MOSCOW ( Reuters ) - Russia ’s coronavirus case tally rose above 260,000 on Friday , cementing its status as the country with the second highest number of infections after the United States , as the city of Moscow began offering free antibody tests .","MOSCOW ( Reuters ) - Russia  MOSCOW ( Reuters ) - Russia ’s coronavirus case tally rose above 260,000 on Friday , cementing MOSCOW ( Reuters ) - Russia status as the country with the second highest number of infections after the United States , as Moscow began offering free antibody tests ."
FILE PHOTO :,FILE PHOTO :
"A medical specialist transports a person on a stretcher outside a hospital for patients infected with the coronavirus disease ( COVID-19 ) on the outskirts of Moscow , Russia May 12 , 2020 .","A medical specialist transports a person on a stretcher outside a hospital for patients infected with the coronavirus disease ( COVID-19 ) on the outskirts of Moscow  Russia May 12 , 2020 ."
"REUTERS / Tatyana Makeyeva Russia ’s death toll rose by 113 overnight to reach 2,418 , Russia ’s coronavirus task force said , while the case tally jumped by 10,598 to hit 262,843 .","REUTERS / Tatyana Makeyeva Russia ’s death toll rose by 113 overnight to reach 2,418 , Russia ’s coronavirus task force said , while MOSCOW ( Reuters ) - Russia ’s coronavirus case tally jumped by 10,598 to hit 262,843 ."
"Moscow , the epicentre of Russia ’s outbreak , started mass antibody testing of residents on Friday to try to work out what portion of the population has already been infected and to identify infected people with no symptoms .","Moscow  Russia ’s outbreak , started the programme on Friday to try to work out what portion of the population has already been infected and to identify infected people with no symptoms ."
"Sergei Sobyanin , Moscow ’s mayor , has promised over 200,000 such tests a day by the end of May , and said the programme will help him decide how and when to ease lockdown measures which have forced many businesses to close .","Sobyanin  Moscow ’s mayor , has promised over 200,000 such tests a day by the end of May , and said the programme will help Sobyanin decide how and when to ease lockdown measures which have forced many businesses to close ."
Though Russia was quick to seal off much of its border with China to try to reduce the spread of the virus it was slower to close down European travel .,Though Russia was quick to seal off much of Russia border with China to try to reduce the spread of the virus  Russia was slower to close down European travel .
"Many richer Russians caught the virus during their annual ski holiday at the French ski resort of Courchevel in March , six Russians familiar with the matter told Reuters , three of whom fell ill after their own trip there .","Many richer Russians caught the virus during Many richer Russians annual ski holiday at Courchevel in March , six Russians familiar with the matter told Reuters , three of whom fell ill after six Russians familiar with the matter  the trip there ."
"One of them , Alexander Sorkin , a wealthy Russian restaurateur , flew back via Geneva on March 9 and was diagnosed with the virus several days later .","Sorkin , who has now recovered  six Russians familiar with the matter , Alexander Sorkin , a wealthy Russian restaurateur , flew back via Geneva on March 9 and was diagnosed with the virus several days later ."
He said he knew of at least 60 others with virus symptoms after the trip .,"Sorkin , who has now recovered said Sorkin , who has now recovered knew of at least 60 others with virus symptoms after the trip ."
“ A ski resort is the perfect environment for breeding coronavirus .,“ A ski resort is the perfect environment for breeding coronavirus .
It ’s just the right temperature,A ski resort ’s just the right temperature
"and there is a huge social life , ” said Sorkin , who has now recovered .","and there is a huge social life , ” said Sorkin , who has now recovered ."
"Ellina Litvinchuk , who works for a Russian fashion brand and tested positive for the virus after such a holiday , said that most of the 30 people she travelled with to Courchevel in early March had also got sick on their return .","Ellina Litvinchuk , who works for a Russian fashion brand and tested positive for the virus after such a holiday  the virus after such a holiday , said that most of the 30 people she travelled with to Courchevel in early March  Ellina Litvinchuk , who works for a Russian fashion brand and tested positive for the virus after such a holiday travelled with to Courchevel in early March had also got sick on most of the 30 people she travelled with to Courchevel in early March  their return ."
"Musa Bazhayev , president of Russian Platinum , one of the world ’s major producers of the metal , and tycoon Mikhail Prokhorov were in Courchevel around the same time , three people who know them said .","Bazhayev  Prokhorov were in Courchevel around the same time , three people who know most of the 30 people she travelled with to Courchevel in early March said ."
"Bazhayev was later taken to hospital with symptoms of the virus , three sources said .","Bazhayev was later taken to hospital with symptoms of the virus , three sources said ."
Bazhayev ’s spokesman declined to comment .,Bazhayev ’s spokesman declined to comment .
A spokeswoman for Prokhorov said the businessman “ has not been and is not being treated for COVID-19 and has no indications of illness . ”,A spokeswoman for Prokhorov said Prokhorov “ has not been and is not being treated for COVID-19 and has no indications of illness . ”
"Petr Tushkevich , World Kitesurfing Champion , told Reuters he was taken to hospital with the virus after his return from Courchevel .","Petr Tushkevich , World Kitesurfing Champion , told Reuters  Petr Tushkevich , World Kitesurfing Champion was taken to hospital with the virus after Petr Tushkevich , World Kitesurfing Champion  their return  Courchevel ."
"One Russian banker , who declined to be named , said he knew a number of people who returned on the March 9 flight from Geneva but then ignored an order from Moscow authorities to self - isolate for two weeks .","One Russian banker , who declined to be named , said One Russian banker , who declined to be named , knew a number of people who returned on the March 9 flight from Geneva but then ignored an order from Moscow authorities to self - isolate for two weeks ."
"“ People were irresponsible , ” the executive said .","“ People were irresponsible , ” One Russian banker , who declined to be named , said ."
"Sobyanin , Moscow ’s mayor , spoke about such Russians in an appearance on the TV Centre channel on March 25 .","Sobyanin  Moscow ’s mayor , spoke about such Russians in an appearance on the TV Centre channel on March 25 ."
"“ Many people were in Courchevel and brought a suitcase full of viruses from there , ” Sobyanin complained .","“ Many people were in Courchevel and brought a suitcase full of viruses from there , ” Sobyanin complained ."
"Additional reporting by Gleb Stolyarov , Tom Balmforth and Anastasia Lyrchikova ;","Additional reporting by Gleb Stolyarov , Tom Balmforth and Anastasia Lyrchikova ;"
Editing by Andrew Osborn,Editing by Andrew Osborn
